	2562
Thomas Meyer	55137
Xinsong Yang	43949
Andrew Wei Xu	99474
Agustinus Borgy Waluyo	74160
Patricia A. Keating	15473
Henry Markram	41721
Ben Suter	27334
Ha Dang	131196
Gautam K. Deora	157079
Daniel D'Andrea	98828
Brent W. Spranklin	7314
Inna A. Chistovich	15726
Luc J. Smink	94303
Debajyoti Bera	130074
Douglas Durand	31013
Sayuri Konno	123743
Teng Wang	110213
Karine Audouze	103788
Przemyslaw Rokita	24009
Jeffrey Jenkins	44499
T. C. Woo	7139
Charlotte Kristensen	77584
Peter L. Carlen	64518
Bardia Sadri	116569
Shinan Li	130424
Minh Anh Thi Ho	107579
Michel Berthier	57397
José Ricardo Pelaquim Mendes	53815
Rami Haddad	139545
Simone Martini	119904
M. Gonzalo Claros	97442
Olufemi Komolafe	126616
G. Chen	57584
Carrie A. Williams	65257
Mariano Rincón	61320
E. V. Staab	74841
Xinping Zhu	164021
Mai Sun	90928
Spyros Antonatos	128424
Song Ko	87661
G. Vidal	120396
Venugopal Kalavacharla	100815
Sunil Archak	82835
Hsueh-I Lu	45331
Miguel C. Teixeira	89777
Marco T. Morazán	124454
Nathalie Laurent	23291
Ahmed Fouad El Ouafdi	27005
Roland Goecke	50074
Martin van den Nieuwelaar	136452
Youzuo Lin	21736
Richard C. T. Lee	47665
Zhaomin Ren	27377
Bernd Radig	47332
B. H. Robinson	76731
Angelos D. Liveris	25860
Gerald H. Learn	83792
Joel P. Berger	89852
Christopher Nitta	164437
Marielle Mokhtari	37539
Christine Keribin	50424
N. G. Zagoruiko	15678
I. Mahadevan	161975
K. C. Chattopadhyay	55640
Cristina Cellerai	103783
Paul Grimwood	1885
Shangfei Wang	12680
Hans-Joachim Wuensche	75289
Alexander Isaev	92653
Christian Leibold	42180
Nico Di Domenica	52264
Makoto Fujiwara	47843
Laszlo Orban	96394
Armand M. Makowski	128244
David Hung-Chang Du	11607
Mitsu Yoshimura	48265
Ju Qian	110549
Thananchai Leephakpreeda	56859
Humoud B. Al-Sadoun	44614
G. Horton	161717
Kazuo Iwano	17079
Erkan Acar	156757
Bo Zou	109966
Ville Silventoinen	79884
Martin Necaský	151111
Hongchuan Yu	3194
Huaguang Zhang	21825
Hisato Iwai	143496
Alejandro Real-Chicharro	86475
Elizabeth A. Walkup	141322
Juncai Ma	78043
Giorgio Bertoli	142719
Burt Rodin	16840
Martin Byröd	34261
Jakub Malý	151113
Julius Ziegler	75485
Peter Clegg	6947
Arobinda Gupta	142705
Karen Stevens	148611
Alessandro Nava	114356
Hugo Hedberg	4338
Harald Rosenberger	116882
Keyou Zhao	65052
Qijia Tian	51995
Nabhendra Bisnik	107041
Daniel T. Lavelle	87748
Scott A. Sisson	106993
Vic Baston	141590
Bettina Sucrow	151402
Brian J. Holden	94417
Renjiang Zhang	9927
Sanjay Chawla	11849
Samuel A. Ajila	149941
Terry Warwick	36397
G. Fant	15589
Joseph G. Johnson	43249
Natalia Maltsev	84266
Anlei Rao	159036
Grady Booch	151495
AnTzer Dzen	53796
Mark Steyvers	40128
G. Bauw	80131
Yongsub Nam	137847
J. H. Sims Williams	7960
Shu-Hui Sheng	85903
Bernd Engels	93663
Luis Carlos Meneses	55862
Qin-Yu Zhu	48348
Ilya Grigoriev	4946
L. Torres	22573
Jens Allmer	95306
Wilfried N. Gansterer	144570
George A. Geri	24370
Henry Stark	160126
Philip K. Chan	35259
Minxin Shen	51832
Yuchun Chen	16094
Myong H. Kang	143585
Morten Dæhlen	47846
Trygve Reenskaug	151468
Belén Curto Diego	108304
Alexander S. Yeh	76505
J. A. Elliott	15522
Reto Grüter	22441
Tomoaki Ohtsuki	133717
Paul M. Thompson	4498
Susu Xie	12236
Kwang-Hoon Lee	75535
Takeshi Yamada	36288
Yuriy Mileyko	27150
Mark Blaxter	98023
Mohammad Hossein Anisi	141145
Paul Dan Cristea	18848
Mark Huber	116597
Masaki Yamamoto	123751
Prithwish Kangsabanik	28981
Jacques Gautrais	51146
Susumu Nakajima	112156
Ian D. Bishop	31353
Stephen Luther	52438
Matthieu Maitre	3949
Finja Büchel	91978
Jon Ison	88635
Rahmat S. Hyder	154078
Birgit Schiøtt	103336
Elizabeth Furtado	74006
L. Perron	19799
Ueli Meier	68814
Gianni Borghesan	109113
Abolfazl Toroghi Haghighat	135634
Jie Ouyang	49216
Beverly Jamison	121654
Keith D. Swenson	51765
Rui-Wei Zhao	62436
Sylvain Gravier	16958
Jong-Kyu Kim	158412
Douglas A. G. Vieira	63024
P. K. Sadasivan	22751
Craig N. Lumb	106906
Peter Langfelder	84721
Jun Namikawa	43695
Noomane Keskes	9396
Nobuaki Kono	97139
Itamar Elhanany	157832
Tae-Hyung Kim	79192
Paulette Herlin	21761
Agostino Tarsitano	47832
Antonio Galea	84567
Josef Skrzypek	41845
Guo-Jin Wang	7929
Dimitrios Klonidis	128944
Chongjun Yang	32417
Torsten Schaub	33102
Lena Chang	45151
Kim H. Cheung	142145
Corrado Mencar	55570
L.-C. Wu	112578
Wenni Zheng	10824
Kotaro Baba	79534
Leonardo Ornella	100352
Xiaolin Wu	1089
Geoffrey Pritchard	51878
Walter Cedeño	36171
Eric Breck	70964
Ryan Fogarty	161544
Harini Krishnamurthy	136078
F. Ferrero	14530
V. Dvorak	3486
Dohyun Kim	83670
Teresa K. Attwood	77417
Hiroshi Inose	126410
Federica Viti	96205
Dante Augusto Couto Barone	45037
Carlo Sempi	57207
Alexandre Masselot	84969
Luca Cazzanti	35449
Z. Akça	56924
Antonín Komenda	69945
Sean B. Maynard	144451
Zülküf Genç	129126
Elie Inaty	157220
Milos Stojakovic	17887
Paul Gretton-Watson	135562
Marvin Bergsneider	113342
Arafet Ben Makhlouf	134726
J. Wayne Aldridge	105683
Jinqu Zhang	33050
Heqing Guo	137641
George R. Doddington	14911
Kagan Tuncay	94557
Ti-Shiang Wang	137178
Erland Jonsson	126864
M. Aguiar	16451
Beate Grawemeyer	72371
M. Rosenfeld	16971
Yang Seck Seo	46311
P. Iparraguirre	14486
Ji-Chen Yang	21014
Lin-Ping Song	2806
Pavlin Radoslavov	136673
Carine Berezin	76220
Yibo Wu	87545
Howard F. Fine	108464
Arie Middelkoop	124423
Yibo Xue	139086
Hsiao-Yun Shen	30380
John D'Ambra	30186
G. L. Kinzel	7813
Dong-Hyun Yoo	80696
Shigeto Nishimura	122908
Fabio Ruini	43858
Basie von Solms	144264
Mo Adam Mahmood	30681
Patrick R. Cushing	103156
Bihua Tang	110207
Louis Caccetta	142157
Zengyun Wang	69488
Xianxian Zhang	15885
Shan Cong	18935
S. Shah	86447
Alan R. Hevner	51458
Steve C. Thompson	157836
S. Shan	3782
Guocheng Li	109511
B. Llewellyn	44879
Steven Alter	53322
Maushumi Barooah	141159
Kim Rutherford	75693
Joseph Emerson	124852
Kiran Yellajyosula	156203
Randal C. Burns	155883
Padmanabhan Krishnan	148667
Sergey Slavnov	120073
Yen-Liang Shue	15934
Byungyong Ryu	6117
Eviatar Tron	56666
Uros Cibej	161142
Kari-Jouko Riho	73544
Harry M. Chang	14925
Xiaobing Nie	67261
R. Agarwal	147613
Anneke Brümmer	104398
David Wetherall	125550
Xiaohui Xue	11868
Feiping Nie	4677
Greg Franks	149717
Chris H. Wiggins	105645
Somprakash Bandyopadhyay	136502
Dimitris Petrilis	69464
Koon Leai Larry Tan	128494
Baba C. Vemuri	7882
Elissa J. Cosgrove	85440
Daniel Aioanei	88913
Alice C. McHardy	80179
Benjamin Maurin	38593
Dejan Raskovic	113181
Jeffrey H. Shapiro	1345
Zhandong Liu	101362
Hyongguen Kim	78355
Jianzhi Zhang	103691
Zhongke Shi	27880
Zhao-Hua Lu	89820
Michael Kwok-Po Ng	46826
Avner Ottensooser	151071
JinSong Hu	33076
Arie Taal	41083
Kristoffer Forslund	77816
Michael J. Brownstein	93685
Kenta Uchino	55472
Carlos Brito-Loeza	4756
Alex Clark	35903
Alia Bellabas	130539
Weisi Guo	158505
P. Occhinegro	42503
Manabu Kimyou	63696
Roberto De Virgilio	74594
Alexander D. Stoyenko	149343
Jiangye Yuan	62449
Uei-Ren Chen	154627
Tadahiro Ohmi	60051
Joydeep Ghosh	35058
Yuwen Pan	58023
Dazheng Feng	22146
Joan Planas-Iglesias	98502
Donald R. Ucci	159449
María Virginia Manías	63034
Athina T. Giagini	113462
Rafael Alcalá	57580
K. Lewis	163461
Héctor Rabal	20920
Helen Barbas	62887
Yalin Ding	139596
H. P. Piepho	80812
Jean-Marie Orset	142471
Eiji Takeda	111257
Sanja Lazarova-Molnar	97168
Alain Lalande	114108
Frank Adelstein	134796
Seyed Ali Asghar AbbasZadeh Arani	69616
Masakazu Kashiwase	27310
Namrata Vaswani	2980
Jiwen Dong	63191
Peter Denno	7348
J. Paul Robinson	48568
Wannipha Tongsima	105409
Sumeet Gupta	52310
Domenico Campolo	107798
Damien Perritaz	107769
Dae-Keun Lee	110840
Adrian Prantl	151763
Joseph-Jean Mariani	13786
Cheryl Harkness	118049
Sheryl Staub-French	27436
Dziem D. Nguyen	42459
James R. Larus	154873
Sophie Quinton	118507
Jung Bong Lee	73554
Brane Hlebcar	55919
Stephan Pabinger	99533
Bojan Kotnik	19830
Ivan G. Kazantsev	18511
G. B. Porter	47275
Liusheng Huang	34736
Andrés Pinzón	101912
George A. Bekey	107921
Zhiyi Ma	147436
María Auxilio Osorio Lama	121604
Florian Daniel	53523
C. Adams	145597
Hong Xue	80969
P. J. M. van Oosterom	32163
Richard A. Haddad	1445
Hean-Teik Chuah	20635
Benoit Lardeux	141501
Dabo Sun	152169
Thomas Thorne	94263
Daniel Ramos-Castro	60847
Florian Knoll	115372
Franck Petit	108452
Nen-Fu Huang	121624
Kevin Jeffay	135230
Ender Ozcan	60013
Weizhen Zhou	107497
Zhi-Long Chen	119139
Baocai Yin	46912
Shu-Quiang Wang	32832
Attila Szücs	68388
Geraldine Fitzpatrick	70100
Tosiyasu L. Kunii	8456
Tim R. Mercer	103830
Roberto P. J. Perazzo	69224
E. Puigserver	71919
I. Ihnatsenka	122991
Edgar E. Vallejo	95420
Yuji Matsuda	70041
Wei-Hua Gui	138932
Huaming Li	113711
Mingen Lin	117215
Young Hoon Kwon	131668
M. Ammar Rayes	136721
Siddharth Pal	65742
Martin P. DeSimio	64273
Habib Benali	114298
Wen-Yi Kuo	159158
Tahar Khammaci	150475
David M. Reif	84230
Susie Stephens	96085
Robert J. Hanisch	25993
Yu Zhuang	64884
Akinori Sato	37834
Larry Bull	36138
Charles B. Owen	26201
Igor Walukiewicz	118223
Xinyu Zang	137010
Guotong Tong Zhou	158880
Hyowon Suh	8057
Partha Pratim Roy	49657
Luciana Bezerra Arantes	155810
I. N. Kar	65032
Margot W. Beukers	98413
Xing-Bao Gao	67909
Gerold Ungeheuer	15789
Sarah Auburn	86947
Kari-Jouko Räihä	71769
P. Shivakumara	47119
G. Sudha Anil Kumar	142781
Leonardo Mancilla-Amaya	67489
Petko Bakalov	28686
Michael Welzl	13218
Matthew W. Dimmic	92939
Pak-Lok Poon	152349
Markus Rupp	18811
Joachim Hammer	27630
Anirban Mukherjee	20861
Asthur M. Farley	142083
Benedikt Wirth	34496
Fernando Montani	44016
Claudio Turchetti	20909
Kevin Durrheim	72039
Bob L. Sturm	22054
Jonathan C. Herzog	145105
Sophie S. Abby	99156
Dermot Campbell	20950
Bharat Singh	103003
Ruipeng Li	154758
Dieter Vandenbussche	118676
Robert J. C. Bultitude	131493
Ralph Ewerth	12774
J. R. Barry	132549
Wojciech Makalowski	86236
Paula Buttery	70803
Siddhartha Chhabra	164071
Hyung Woo Kang	10936
Qing K. Wang	93294
Salman A. Malik	22201
Mohd Saberi Mohamad	113904
L. Fernández-Jambrina	8793
John J. Mullins	98419
Michael H. K. Bendels	68871
Sinan Batman	300
G. Delhomme	111615
M. Rinne	138816
Robert M. Rees	155884
Yixiang Shi	93288
Giovanni Martucci di Scarfizzi	20963
Marco F. Duarte	5023
Louis D. Braida	13607
Thierry Siméon	107154
G. Priestnall	60123
Bruno Blanchet	145201
David W. Pritty	135271
Joseph Ayers	65463
Rajesh Pankaj	141117
Kazuho Watanabe	35267
P. Emerald Chung	125819
Karen Yook	100333
Seppo Kuikka	150763
Alisher Kholmatov	50273
Donguk Kim	7736
Fouad B. Chedid	162928
Natarajan Sridhar	8372
Trent Jaeger	144746
Han-Young Jang	9111
John W. Lloyd	39280
Jit Bitwas	137624
Andrew P. King	114990
Honghua Yang	116846
J. Lee	39788
Sangkyun Kim	144435
Wolfgang Gaul	141993
Wei Bian	4469
Ugur G��d��kbay	154096
Urs Bergmann	68984
Nick Peters	96598
Narendra S. Chaudhari	64746
Javier Pinto	54416
Olga Casals	140140
B. Davis	15306
Keyvan Rahmani	8804
Harvey Lui	113834
Ugo Dal Lago	120078
Sunita Mandon	106629
R. R. P. van Nooyen	162657
Ioannis Karaseitanidis	24667
Hironari Tomioka	152625
Masanori Yamasaki	95079
Ilario Pedron	47281
Tinaz Ekim	122344
Irini Kokkinou	144896
Matthew Studley	51085
Scott D. Goodwin	54237
Jincheng Huang	1426
Olivier Billet	146212
Philippe Reymond	94946
Ahmad Banakar	57945
Mitsuru Oshima	73647
Ashok Patel	42454
Mark Pohl	82533
Dengfeng Gao	28800
Katarina Bartkova	14238
Thomas A. Kuczmarski	98223
Bolian Liu	120496
Marcello Demi	37625
Kouichi Sakurai	139660
Raquel Fernández	37224
Daryl R. Kipke	63154
M. A. Jacobs	89913
Arnold Krechel	161923
Kyung-Won Huh	106939
Josep Conde	141647
Alexandra Scherbart	44222
Yannan Zhao	59782
Martin Weisser	37324
Varun Jain	8815
P. De Wilde	20085
Fran?ois Verdier	157486
Yuan Hong	145331
Matti Pirinen	87244
Hans G. Kerkhoff	156695
Daryl Essam	36534
Robert J. Till	39357
Kord Eickmeyer	124695
Peter Kruizinga	1351
Jan Carlsson	75463
A. McDonna	73488
E. Chin	4074
Haiying Shen	139940
Alexey Baburin	123334
Thibault Napoleon	27008
Jia Bai	139739
D. Brookshire Conner	152609
Peppino Fazio	139275
Diego Federici	41537
Joseph P. Noonan	19220
Kuo-Hsiang Cheng	57071
Elias Zavitsanos	36019
Stephen J. Rassenti	51450
Günes Karabulut	1094
Frank Werner	120772
Armin Dahr	26293
Rubén Béjar	32269
Jörg Ernst	59098
Tobias Mömke	117403
John Schiefelbein	98998
Ulrike Gaul	93603
Sourav S. Bhowmick	29239
Chenyang Lu	74827
Peter Frazier	36064
Helio Waldman	128882
Al Wagner	156044
Jesper Jühne	126531
Rachel Wood	51210
Andrew J. Drake	29434
Arie Matsliah	116056
Tzung-Ru Tsai	20586
Olivier Rochecouste	163920
Cong Fu	94205
Yu-Cheng Huang	78672
Hüseyin Özkaramanli	18310
Mariam Tagmouti	129725
Stephen H. Koslow	111681
Kyoung-Rok Cho	75175
Azeddine Gati	133302
Marco Pratesi	131715
Ah-Hwee Tan	12591
Hai-Ning Liang	71833
Stephen S. Fong	103124
Sing-Ling Lee	136230
C. R. Baugh	141816
Evelyne Foerster	163095
Manel Medina	153716
Matthew Maycock	149229
Doug Arnold	58344
Christian Makaya	132258
Craig W. Berridge	106923
Darka Mioc	23310
Dan L. Shunk	148484
Nigel Fenton	135503
Forrest Shull	146753
Howie Choset	107663
Evan Keibler	83448
Vivian Y. Hsu	10358
Raghuveer M. Rao	1841
Alexey Goltsov	92477
Yoshihiko Kawai	11350
J. Pan	159140
Nicolás García Aracil	108099
Tingzhe Sun	97320
Hongying Liu	110510
Henry Kang	11166
Sumio Ohno	13727
M. I. Kilani	8418
Tami Tamir	115755
Wendy Sarrett	39560
Klaus Aehlig	119717
Bart De Moor	18045
Richard Hsin-Hsyong Yang	21351
Mark A. Bourjaily	104854
Terrence M. Dobrowsky	104811
J. W. Harrington	31830
Paul Honeine	23244
Erika Shehan Poole	70528
George Pangalos	112565
H. Bolouri	78738
Hsing-Lung Chen	137585
Francisco Garc��a	161105
V. Vuskovic	114957
Angshul Majumdar	21884
Patrick Jackman	49362
Michael Small	20772
Murat Kunt	2213
Kaisa V??n?nen-Vainio-Mattila	74707
Akira Koseki	155490
Misha Pivovarov	94298
Ron Unger	81973
Samora Okujeni	102532
Felice Cardone	119813
Simon Patarin	154912
Sanyuan Zhang	9063
Ana Dopazo	83591
Sandro Moos	9757
Yingjie Jay Guo	158590
Hong Ying	113786
Michele N. da Costa	22236
Christian Dietrich	45469
Yi-Fan Hu	67299
Kostas Stroggylos	129476
Janell Straach	54493
Duncan A. E. Cochran	79121
Wolfgang Blochinger	160964
Jerry Potter	154016
M. Gopalakrishnan	59321
Chi-Hsien Hsu	143654
E. Le Tavernier	22565
Jim Kannampuzha	15876
Kenneth R. Castleman	3143
Kent Felske	137605
Boris Kaminsky	51989
David E. Bakken	126989
Inkyung Jung	86180
Shoubin Liu	7951
Mike Kirby	27169
Christos Georgousopoulos	162742
Grégory Paul	6240
Miroslav L. Dukic	140274
Y. Dora Cai	28881
Yacine Challal	128521
Pat Morrow	164048
W. T. Webb	159903
Jie Wang	4551
Zhenyu Tan	149764
Hiroki Ishizaka	39409
Mark D. Guzzi	154517
Gianluca Bontempi	20443
P. Bunel	60145
Stefan Kowalewski	151247
William A. Wulf	155529
Hukeun Kwak	156346
Edward A. Addy	151990
Matthias Bochtler	91087
P. Wu	54069
Denis Kouame	21767
Chen Bin	56640
Vahid Tabatabaee	163069
Gagan L. Choudhury	118735
Silvana Penco	95888
Johnny Tienyi Li	46004
Juyul Lee	132771
Guanghui Zhao	22070
Elena Faci Olmos	9147
Johnny S. K. Wong	147647
Yu-Huan Sung	13220
Phillip T. Conrad	124913
Ronenn Roubenoff	105896
Ravishankar Sivalingam	39005
Christos P. Loizou	113261
Lawrence B. Holder	34870
Karthik Kumara	61162
C. Ramakrishnan	102899
Guido Maier	128946
Raúl Cruz-Barbosa	61569
A. Profumo	136706
Dieter Gantenbein	127342
W. S. Kafri	22467
Sun-Yang Park	102924
Renato Ferreira	156387
Curtis Padgett	46012
Rosa Chaves	62583
Chu-Chai Henry Chan	52120
Shin-Mu Tseng	149368
Jen-Yao Chung	29282
Hyojeong Shin	74691
R. Gary Parker	116298
Xing-Yang Feng	8826
Timothée Cour	35929
John I. Powell	77559
David R. Steward	32464
Mohammad Zarafshan-Araki	138699
Ineke Mennen	13405
Douglas R. Call	95914
Sima Asgari	146840
Zhi-Hong Yi	57352
Carmela Troncoso	130056
Erwin Flaschel	95505
Akbar Afghari	14131
Jinxuan Fang	56929
T. J. Blanche	64215
Joe W. Gray	85761
Yuewang Huang	144637
Rim Helaoui	73156
Mohamed Aoun	19729
John A. Rushing	2672
Jyhmin Kuo	141599
Kenneth P. Birman	140228
Abishek S. Madduri	92112
K. Kanaya	160808
Purna Doddapaneni	64024
Radoslav Fulek	17631
Carlos Pantale��n	157147
Maxime Guillaud	132429
Ian Lewin	91416
Utz Wever	8541
Man Fai Lau	149573
Attila Altay Yavuz	143080
Tamotsu Noguchi	80479
Lynn B. Reid	163077
Lea Tsaban	84680
Eric Bertin	23060
Christoph M��ller	162858
Michal Penn	120581
Panos Georgatsos	135801
Wolfgang Franke	151383
Richard Watson	36698
T. T. Tjhung	160494
Koji Ito	42251
Andrew Kutruff	162530
Süleyman Tüfekci	120500
Robert A. Lindquist	95922
Theo Dirk Meijler	151703
Ilya Ruvinsky	103477
Nick Mathewson	145837
Harrison H. Barrett	114785
Simon M. Poulding	147031
Dragan Samardzija	131212
Julie Fisher	148095
Peter W. Sauer	51582
Hermann-Josef Gröne	82941
Kaibo Wang	155209
Lev Podshivalov	27098
Ted Herman	125120
Xiaoyu Jiang	95932
Jennifer M. Taylor	90853
Sethuraman Panchanathan	1124
Hans Hallen	131545
David C. Montefiori	105082
Ioannis Krontiris	150838
Weihu Wang	150736
Hind Castel	137469
Hank Weghorst	24110
Chutimet Srinilta	161771
Hongji Yang	146892
Michael Heuer	85282
Richard A. Kaslow	83986
Kevin T. Pedretti	156438
Jakob Hummes	70175
Mark Staples	146883
Ali Fanian	130003
J. Wenzel	27208
Yu-Qing Qiu	98470
Guy Plunkett III	97040
Sukoya Tawaratsumida	39129
Hsiao-Wuen Hon	15660
Bengt Persson	79028
Chih-Hsing Chu	6894
Kari Kalliokoski	113716
Shoubao Yang	144008
Geneviève Dujardin	103661
Francesco Rocco	91580
Sung-Cheal Byun	25831
Paulo Carvalho	158203
Jeanne M. E. Jacobs	95736
Suzanne Clare Brewerton	92459
Petros Koumoutsakos	24597
Yu-Chei Lin	158495
R. Y. M. Tavares	157669
Martin Mokrejs	77182
Alexey Semyanov	44315
Mahendra Kumar	144221
Armin Jahanpanah	140109
Nishit Tewari	142531
Andrew Yeh-Ching Nee	9469
Pengfei Zhang	93283
Nickolai Zeldovich	145936
Mohammed Yakoob Siyal	21527
Astrid Lundmark	1902
Tiegang Cheng	26776
Minmin Gong	24373
Susan Kurian	149758
Tsutomu Aoishi	41920
Detlev Stalling	24330
Kazuhiro Shinosaki	112178
Kaname Kojima	35654
Christophe Scholliers	74377
Osman Gunay	5850
Udi Manber	116543
Lorenza Vitale	77233
Daniela Besozzi	40555
Xichen Sun	48457
Simona Gandrabur	58268
Andrew J. Sims	112377
Rodrigo Poblanno-Balp	51306
Kah Kay Sung	45620
Suyash P. Awate	115130
Judy Qiu	29440
Sahar E. Bou-Ghazale	14558
Daniel Méry	120068
Alexis Bès	124630
Tianzhen Liu	65496
Hongfeng Wang	40613
Cynthia D. Rais	156092
Dewayne Moore	53050
Morey Parang	90806
R. Kantor	82717
Young-Min Kang	23744
V. Elser	16870
Anders Möller	149783
Linda Ta	106504
Luis de la Torre	100054
Juan Hernandez-Toro	84455
F. Lustman	29598
Pascal Zimmer	120047
Jenny Juliany	36101
David W. Conrath	125771
Mehul Motani	127229
Soonjae Kwon	52728
Koohong Kang	135997
Michitaka Hata	25356
John B. Lohse	148811
Lianjie Wang	92684
Timothy E. Allen	102415
Iwei Yeh	80757
Moshe Machline	33489
Jon Baker	160742
Mariano Zelke	117484
F. Sinsel	46994
Owen J. Marshall	80073
Siobhán Clarke	72625
Mary-Ann Bell	160469
Kenji Noda	156915
Ssang-Soo Lee	159049
Marie E. Fraser	92581
Xueya Cai	79660
Manoj Hariharan	97229
Yong-Bo Zhao	20387
Franka Meiland	72811
Giuseppe Anastasi	72709
Dieter K. Hammer	30672
Zhong Li	24777
Volker Tschammer	136647
Daniel A. Peak	30268
Rolf Folksterma	98251
Congnan Luo	153338
Valentin Polishchuk	27000
Ann H. Hayes	148378
Mohammadreza Shojatalab	81296
Wolfram Weckwerth	79366
Andrew B. Onderdonk	106750
Geroge Casella	101167
Kaisa Nyberg	122054
Yuh-Jue Chuang	157844
Sergi Elizalde	123805
Nagendra Bhargava Bharatula	74014
Alireza Shahan Behbahani	133309
John A. Bogovic	39035
Petko Waltchev	54474
David Everitt	160552
Fernando Brücher	64453
Omer Bobrowski	68602
Yin Zhou	20241
Tesa Severson	100176
Jules Hernández-Sánchez	86020
Kentaro Mori	78605
Frank Boesch	141604
Yunchun Yang	108527
Jeremy Hill	43970
Nigel J. Balmer	72358
Robert Petryszak	80782
Fabián Güiza	27537
Alan M. Hofmeister	54273
Doan B. Hoang	135652
Fu-Hsiang Tsai	137756
Dmitry A. Dmitriev	105940
Snehashis Roy	115375
Michel Patry	29884
Masha Y. Niv	76347
John Håkon Husøy	2558
Jes��s Vigo-Aguiar	153610
Karim Abdalla	155735
Guo-Tan Liao	130296
Diego Sánchez Navarro	143739
Emmanouil G. Alivizatos	19985
G. Michael McGrath	51712
I. Khaytin	63875
Wim Peters	70787
B. B. Bhattacharya	46787
Younghwa Lee	30220
Xinghuo Xu	28079
Tim Stapleton	31127
Frauke Henjes	88281
Rudolf Stollberger	114420
Ashwin Ram	39397
Larry J. Greenstein	130905
Ping-Feng Chen	5273
Wei-Jyun Hong	130100
Klaus Berger	113783
Matthew J. Liberatore	30091
Christian Müller	17670
Masanobu Honda	26452
Enzo Gandolfi	55851
Suat Ozdemir	129967
Biao Wang	144615
Arne Skou	110543
Wai-fong Chuan	121031
Alberto Forti	43277
Ilka Rebhan	88594
Wray L. Buntine	34359
Laurie J. Hendren	54218
Shilpy Gupta	19324
Nail Kavak	135910
Britta Mersch	95677
Bruce Khavar	126759
Bo-Chun Wang	138469
Yi-Wen Zhang	27148
Michael Segal	116273
Maria Antonieta Scarano	108120
Yoshio Mogami	40959
F. Lacquaniti	68074
Jeffrey Ames	68151
J. Ross Stenstrom	33948
Hisakazu Kikuchi	1471
Olivier Rival	130475
David Gries	152916
Daniel Leo Lau	1758
Jeanette Blomberg	70128
Paulo Henrique Siqueira	65483
W. Sean Kennedy	123579
Tai-Lung Chen	153782
Djemel Ziou	416
Marc Pybus	90166
Kate Amanda Smith-Miles	65135
Hideaki Kim	105306
John B. Norris	52860
Guy N. Brock	88800
Atreyi Kankanhalli	29816
Rizwan Dhanidina	126605
Rajeev Alur	74742
Eric Baranowski	84293
Waibhav Tembe	49137
Syed Mansoor Sarwar	134824
P. L. C. Smith	59461
Hui Lan	94786
Shumo Li	50753
Mohammad Khansari	143028
Deepak Bandyopadhyay	113533
Saibal Dutta	55042
Bárbara González-Arévalo	138912
Hulya Yalcin	33515
Maria A. Ferraiuolo	101165
Yusuke Miyao	37241
Fatih Celiker	49959
Zhenning Shi	132248
Tarik Arici	4611
P. Deloof	22533
Xiaohui Yu	57597
J. Hein	76643
David Finkel	137228
S. Cristaldi	142912
S. M. Nagabhushan Kaliyur	137404
Umeshwar Dayal	28966
Aswin C. Sankaranarayanan	4113
Sebastien Horna	9218
Ahmed Zidna	10005
Chong Hyun Lee	18345
Sungwon Jung	150356
Hachemi Bennaceur	119174
J. C. Kieffer	132018
Dong Joong Kang	44907
Zhangjin Huang	9816
Maria Gabrani	45661
Hyunseung Choo	23247
Sangkyu Park	54307
Chiara Renso	28484
Manshan Lin	137642
Santanu Santra	49066
Gordon E. McCray	29561
George L. Rudolph	54861
Tomas By	70719
Andrew Hay	164470
Zhanchuan Cai	26352
Qi Xu	52034
Eliyahu Safra	32476
Liesbeth Rooms	100049
James A. Foster	36354
Jean-Pierre Kuilboer	30181
Lars Kiemer	79168
Seyed Mohammad Mahdi Alavi	138566
James Wang	153992
Bernd Kupfer	76162
Jorge Lepre	79692
Alireza Montazeri	140079
Meihe Xu	114647
Pedro F. Campos	72136
Matthias M. Müller	146681
Himer Avila-George	154649
Angel Alvarez	100665
L. A. Sholomov	122244
Dongwan Shin	145732
Yingtao Bi	100873
Alan W. Johnson	121671
Ugo Ala	88442
Thomas Malina	63321
G. Lemaur	19980
Jonathan Platkiewicz	105954
Levent Onural	151
Yufan Guo	89737
Josephine Sullivan	33438
María José Jiménez	123011
V. Mahnic	147428
I. M. Sobol	6662
Hidehisa Nakayama	12378
Ruchira Yasaratna	158318
Nicolino J. Pizzi	56481
Martina Bosíková	120751
Steven H. Low	125935
S. Cui	3393
Michael Weinrich	68758
Adriana Stan	16182
Hongsheng Zhang	38369
Miroslaw Thor	154104
Anil Somayaji	128463
Wee Tiong Ang	96670
Ching-Yu Tyan	64703
Ajay Kapur	12881
Friedrich Pukelsheim	141713
Tsung-Han Tsai	12659
Carlos Bobed	150740
Marcelino Campos	95359
Ming-Hung Shih	144723
Eric J. Hayden	51079
Andrzej Hlawiczka	156487
Anneliese Amschler Andrews	146568
José A. De Doná	22824
Chonggang Wang	132913
Peter Lorenzen	114573
Reda Bendraou	151633
Benjamin G. S. Horsman	98107
Noemi de La Rocque Rodriguez	162355
Albert Bel	132882
George Potamias	112694
Ryan Ziemiecki	100017
Imad H. Elhajj	144765
Yuming Chen	41336
Eleanor Chu	153619
Cocky Hilhorst	52798
Vadim Tikhanoff	43866
M. Jeger	141832
Stefan Balev	118592
Dragan Radulovic	19557
